depth_km vs_km_s
39.800000 3.918811
40.000000 3.922160
40.200000 3.925091
40.400000 3.928103
40.600000 3.931264
40.800000 3.934390
41.000000 3.937600
41.200000 3.940611
41.400000 3.944093
41.600000 3.947507
41.800000 3.951462
42.000000 3.956349
42.200000 3.960757
42.400000 3.965747
42.600000 3.971581
42.800000 3.977333
43.000000 3.983404
43.200000 3.990824
43.400000 3.998770
43.600000 4.008496
43.800000 4.018683
44.000000 4.029592
44.200000 4.042432
44.400000 4.057526
44.600000 4.074703
44.800000 4.095261
45.000000 4.118567
45.200000 4.146531
45.400000 4.185060
45.600000 4.241086
45.800000 4.349340
46.000000 4.418716
46.200000 4.440820
46.400000 4.460606
46.600000 4.479277
46.800000 4.495230
47.000000 4.510441
47.200000 4.524963
47.400000 4.537670
47.600000 4.549423
47.800000 4.559933
48.000000 4.568930
48.200000 4.577911
48.400000 4.586394
48.600000 4.593354
48.800000 4.599910
49.000000 4.606475
49.200000 4.606475
49.400000 4.606475
49.600000 4.606475
49.800000 4.606475
50.000000 4.606475
50.200000 4.606475
50.400000 4.606475
50.600000 4.606475
50.800000 4.606475
51.000000 4.606475
51.200000 4.606475
51.400000 4.606475
51.600000 4.606475
51.800000 4.606475
52.000000 4.606475
52.200000 4.606475
52.400000 4.606475
52.600000 4.606475
52.800000 4.606475
53.000000 4.606475
53.200000 4.606475
53.400000 4.606475
53.600000 4.606475
53.800000 4.606475
54.000000 4.606475
54.200000 4.606475
54.400000 4.606475
54.600000 4.606475
54.800000 4.606475
55.000000 4.606475
55.200000 4.606475
55.400000 4.606475
55.600000 4.606475
55.800000 4.606475
56.000000 4.606475
56.200000 4.606475
56.400000 4.606475
56.600000 4.606475
56.800000 4.606475
57.000000 4.606475
57.200000 4.606475
57.400000 4.606475
57.600000 4.606475
57.800000 4.606475
58.000000 4.606475
58.200000 4.606475
58.400000 4.606475
58.600000 4.606475
58.800000 4.606475
59.000000 4.606475
59.200000 4.606475
59.400000 4.606475
59.600000 4.606475
59.800000 4.606475
60.000000 4.606475
60.200000 4.606475
60.400000 4.606475
60.600000 4.606475
60.800000 4.606475
61.000000 4.606475
61.200000 4.606475
61.400000 4.606475
61.600000 4.606475
61.800000 4.606475
62.000000 4.606475
62.200000 4.606475
62.400000 4.606475
62.600000 4.606475
62.800000 4.606475
63.000000 4.606475
63.200000 4.606475
63.400000 4.606475
63.600000 4.606475
63.800000 4.606475
64.000000 4.606475
