depth_km vs_km_s
45.600000 4.308732
45.800000 4.415695
46.000000 4.458446
46.200000 4.487646
46.400000 4.508639
46.600000 4.527626
46.800000 4.541616
47.000000 4.553634
47.200000 4.563287
47.400000 4.572848
47.600000 4.581978
47.800000 4.590034
48.000000 4.597050
48.200000 4.603044
48.400000 4.608581
48.600000 4.614196
48.800000 4.619045
49.000000 4.623631
49.200000 4.623631
49.400000 4.623631
49.600000 4.623631
49.800000 4.623631
50.000000 4.623631
50.200000 4.623631
50.400000 4.623631
50.600000 4.623631
50.800000 4.623631
51.000000 4.623631
51.200000 4.623631
51.400000 4.623631
51.600000 4.623631
51.800000 4.623631
52.000000 4.623631
52.200000 4.623631
52.400000 4.623631
52.600000 4.623631
52.800000 4.623631
53.000000 4.623631
53.200000 4.623631
53.400000 4.623631
53.600000 4.623631
53.800000 4.623631
54.000000 4.623631
54.200000 4.623631
54.400000 4.623631
54.600000 4.623631
54.800000 4.623631
55.000000 4.623631
55.200000 4.623631
55.400000 4.623631
55.600000 4.623631
55.800000 4.623631
56.000000 4.623631
56.200000 4.623631
56.400000 4.623631
56.600000 4.623631
56.800000 4.623631
57.000000 4.623631
57.200000 4.623631
57.400000 4.623631
57.600000 4.623631
57.800000 4.623631
58.000000 4.623631
58.200000 4.623631
58.400000 4.623631
58.600000 4.623631
58.800000 4.623631
59.000000 4.623631
59.200000 4.623631
59.400000 4.623631
59.600000 4.623631
59.800000 4.623631
60.000000 4.623631
60.200000 4.623631
60.400000 4.623631
60.600000 4.623631
60.800000 4.623631
61.000000 4.623631
61.200000 4.623631
61.400000 4.623631
61.600000 4.623631
61.800000 4.623631
62.000000 4.623631
62.200000 4.623631
62.400000 4.623631
62.600000 4.623631
62.800000 4.623631
63.000000 4.623631
63.200000 4.623631
63.400000 4.623631
63.600000 4.623631
63.800000 4.623631
64.000000 4.623631
