H_sed,Vs_sed0,Vs_sedz,K_sed,H_uc,Vs_uc,VpVs_uc,H_moho,Vs_lc,VpVs_lc,Vs_mantle,VpVs_mantle
3.3949640054793724,0.5652037852235579,2.30818291462713,2.62172906835593,17.05189781906114,3.526710820943579,1.7482898883786757,29.069741444114197,4.104211869025667,1.6922625444453168,4.538365693927581,1.7532963620506459
3.1351802131730366,0.745791635302117,2.003047451483246,2.31560965774388,15.920920209413696,3.6001810647009376,1.69754667459338,27.874377809662604,3.6842735644507636,1.6992986257449958,4.5063077885731335,1.7581405330068722
3.2771307431382226,0.7551233368279751,2.0014281505862654,2.3092505935806615,15.001076492033198,3.680856004343237,1.7457374337043263,27.444701923833538,4.001002138751703,1.6824075243259309,4.528205916166451,1.7878616485422543
2.679561408622634,0.6997602794127871,2.1285876719333743,2.3449477735367763,17.828055128731105,3.7921781585114207,1.7352442112992252,27.931619229591842,3.9522230511405025,1.697566463121888,4.546315503827481,1.7819203163171589
2.842290495734696,0.6615509949726843,2.140742326214889,2.269698568175281,15.711504337286012,3.7501197551975785,1.7846438434235454,34.75799386731091,3.9726230335826744,1.6751219706868752,4.574061371346226,1.8163746195980095
2.798165506252211,0.9022044151661484,2.1261319960084455,2.226621710072618,15.498021437964344,3.696204694921879,1.7403845393926265,34.29006674972913,3.89768870291007,1.6896750850168352,4.518746450097419,1.8078691217777638
2.640305819697441,0.7024911286751905,2.2470035646226614,2.0797976591120375,15.100231353174445,3.7497646155930795,1.724291699854851,33.90907429174398,3.8802317599144884,1.681919624686411,4.5052182576175985,1.7987376664352643
3.5921676212013707,0.722798974771488,2.0766917528678426,2.2496671674258533,15.616560405848007,3.7327497588726826,1.7589304075547745,34.789723476262054,4.076476029113423,1.6867717026674263,4.488190664479683,1.7981887087801756
3.5568348316195304,0.7339503608553686,2.420090193602882,2.22627506064215,15.209105152939701,3.6653070501120992,1.7613253061423253,33.684657610856405,4.001176062058606,1.6930829344708245,4.443647431255032,1.789270745937121
3.7323834683037385,0.9411897378041086,2.0391453271324114,2.1760701859800102,15.306450865832073,3.7394459141162697,1.7969252793182422,33.24459583882299,3.9027545154419645,1.6899006613656193,4.40186070947672,1.79285276364473
3.3536828170992905,1.0561604240749027,2.000318872164387,2.1714285947842416,15.263193503440988,3.8161772878009965,1.7534895539859692,33.80307742542161,3.9188114797088507,1.6899917427579827,4.460782492803494,1.7804814991960658
3.272830500545117,1.0127616393310355,2.155922235308766,2.290556558533248,18.23244844238497,3.8338674634805168,1.7388675310514146,31.196076978184557,4.084517722033228,1.666072948406784,4.505169390810337,1.7771699505303424
3.290077340734443,0.5283937577720994,2.021007558321728,2.6494257383461286,18.84732290904191,3.8761530306503333,1.7266402884651746,31.878855827000105,3.902831732310415,1.6523149959396686,4.558370651363618,1.7790081199055658
2.378002224501346,0.5512497889818948,2.1474960480037826,2.4978667578714853,18.502762473364076,3.8300075220398515,1.7780111769569167,30.573379564953406,3.926957331731543,1.672750801340508,4.568776272753754,1.7935877196668202
3.026161876305019,0.5997903475800134,2.0747976796402305,2.4878851078107447,15.90502759693701,3.876409806329558,1.715988616919084,31.919717563670353,4.49717411919953,1.6696443552762208,4.6285120009969605,1.7829864724735762
3.4978561783948936,0.7670282221451677,2.133698984631134,2.447097929551952,18.31673705887304,3.8855444032224953,1.7405105100342355,32.798741421289314,4.216565203600555,1.6780051500821405,4.58316461100978,1.7859698848209942
2.944418180408921,0.7556676266769625,2.2590881508357996,2.267771107595633,20.63333054960908,3.810353187437055,1.734140911719692,32.24679936513042,4.221685334689695,1.6948543799410345,4.6324465604049925,1.7818439290448498
4.012608715188769,0.7090061338247354,2.0764272443834235,2.0076838491680933,17.447696502373546,3.8682618168891043,1.7417786945685862,31.543937019887025,4.166660171778251,1.6823235366129048,4.519251024469549,1.7756239642050682
3.7221874584451413,1.0060576251285325,2.1398190427216854,2.1991822686539715,16.66522768907404,3.8826580730753735,1.749484306828049,32.506145901437016,3.8967294953878,1.7125898539117124,4.592604724009116,1.7725630116982254
